"你下次路过 能不能不勾走我的魂 带我走","2019-10-07 11:58:14.523332"
"你这辈子最遗憾的事就是没法亲吻自己好看到爆炸的脸蛋！","2019-10-07 11:58:15.631302"
"我不知道歌里唱的是谁，我听的全是你。","2019-10-07 11:58:16.660580"
"最近体重上升了，绝对没有偷吃，只是把你偷偷放在了心里","2019-10-07 11:58:17.688837"
"我翻遍网易云QQ虾米搜狗酷狗荔枝豆瓣喜马拉雅，也找不出一首像你这么甜的歌","2019-10-07 11:58:18.718271"
"这个世界美好的事情不多，立秋傍晚河对岸吹来的风，和笑起来甜得要命的你","2019-10-07 11:58:19.747133"
"春风秋叶轮转，山南水北走遍，你一眼万物不见，你一笑心跳骤变。","2019-10-07 11:58:20.772303"
"冬天的糖霜，秋天的麦芽糖，夏天的莲子羹，春天的绿豆酥，都甜不过你的笑","2019-10-07 11:58:21.818914"
"我找你的时候就是爆炸想你 ，没找你的时候就是在憋着想你","2019-10-07 11:58:22.918528"
"你就是世界 你就是宇宙 你就是大陆 你就是国家 你就是扰乱我之后又来拯救我的人，你就是神 你就是上帝 你就是love  你就是天使 你就是上天派来拯救我的精灵","2019-10-07 11:58:23.999343"
"鬼魇举臂围城，覆淹星火，你恰是回头  万人中只一眼，却足以救我  ——《不可谖兮 》 伦桑","2019-10-07 11:58:25.028036"
"像星星燃烧天空，像花坠落在春天，像大雪覆盖冬天。你也这样，点亮了我所有的世界","2019-10-07 11:58:26.095907"
"喜欢看你认真的样子，喜欢听你的声音，忍不住想要永远拥有你的微笑~","2019-10-07 11:58:27.170282"
"夜是灯火不休 你是爱至江愁","2019-10-07 11:58:28.177879"
"昨天求佛 佛说我们无缘 我现在不信佛 只信你","2019-10-07 11:58:29.312548"
"从前日色变得慢，车，马，邮件都慢。一生只够爱一个人。","2019-10-07 11:58:30.371831"
"我想把世界上最好的都给你 却发现世界上最好的就是你","2019-10-07 11:58:31.375287"
"这个世纪疯狂，腐败，没人性；你却一直清醒，温柔，一尘不染。","2019-10-07 11:58:32.376718"
"有时候你会惹我生气，让我难过，可每当我想要发脾气，看到你噘嘴委屈的样子，我就忍不住想哄，绷不住想笑，朋友们说我脾气好，我倒觉得是你太可爱。","2019-10-07 11:58:34.564556"
"天气不够好没关系，你够好就行啦","2019-10-07 11:58:35.635291"
"你也太好看了吧！好想亲自在你身边感受你的魅力","2019-10-07 11:58:36.711007"
"你以为我刀枪不入，我以为你百毒不侵。","2019-10-07 11:58:37.785056"
"看见你那一刻，感觉像吃掉了会微笑的糖果","2019-10-07 11:58:38.863557"
"“你会不爱我吗？”“不爱你？不会。爱你就像爱生命。”","2019-10-07 11:58:47.554718"
"要是个孩子该有多好 可以哭着告诉大人 我想要一个跟你一模一样的姑娘","2019-10-07 11:58:48.583970"
"春水初生，春林初盛，春风十里，不如你。","2019-10-07 11:58:49.656235"
"只怕这尘世喧嚣 ，唯有你怀是我唯一安逸之所","2019-10-07 11:58:51.712015"
"爱是崇拜，是紧张，是娇羞，是笃定，是你。","2019-10-07 11:58:53.771720"
